"","publisher","journal","role","editor","affiliation","url","date"
"116","Longdom","Advances in Automobile Engineering","Editorial Board","Hong Tong Low","Associate Professor, Department of Mechanical Engineering National University of Singapore, Singapore","https://www.longdom.org/advances-in-automobile-engineering/editorial-board.html",2021-05-17
"117","Longdom","Advances in Automobile Engineering","Editorial Board","Ian Gibson","Associate Professor, Department of Mechanical Engineering National University of Singapore, Singapore","https://www.longdom.org/advances-in-automobile-engineering/editorial-board.html",2021-05-17
"118","Longdom","Advances in Automobile Engineering","Editorial Board","Petr Husek","Associate professor, Department of Control Engineering Czech Technical University, Prague","https://www.longdom.org/advances-in-automobile-engineering/editorial-board.html",2021-05-17
"119","Longdom","Advances in Automobile Engineering","Editorial Board","Tsung Chih Lin","Professor, Department of Electronic Engineering Feng Chia University, Taichung, Taiwan","https://www.longdom.org/advances-in-automobile-engineering/editorial-board.html",2021-05-17
"120","Longdom","Advances in Automobile Engineering","Editorial Board","Gang Sheng","Associate Professor, College of Information Technology and Engineering Marshall University, USA","https://www.longdom.org/advances-in-automobile-engineering/editorial-board.html",2021-05-17
"121","Longdom","Advances in Automobile Engineering","Editorial Board","Debjyoti Banerjee","Mechanical Engineering Texas A&M University, USA","https://www.longdom.org/advances-in-automobile-engineering/editorial-board.html",2021-05-17
"122","Longdom","Advances in Automobile Engineering","Editorial Board","Jie Zhang","Department of Mechanical Engineering University of Bristol, UK","https://www.longdom.org/advances-in-automobile-engineering/editorial-board.html",2021-05-17
"123","Longdom","Advances in Automobile Engineering","Editorial Board","Hossein Parsaei","Systems Design Engineering Department University of Waterloo, Canada","https://www.longdom.org/advances-in-automobile-engineering/editorial-board.html",2021-05-17
"124","Longdom","Advances in Automobile Engineering","Editorial Board","Chen Jingsheng","Department of Materials Science and Engineering National University of Singapore, Singapore","https://www.longdom.org/advances-in-automobile-engineering/editorial-board.html",2021-05-17
"125","Longdom","Advances in Automobile Engineering","Editorial Board","Shuaian Wang","Lecturer, School of Mathematics and Applied Statistics University of Wollongong, Wollongong, NSW 2522, Australia","https://www.longdom.org/advances-in-automobile-engineering/editorial-board.html",2021-05-17
"126","Longdom","Advances in Automobile Engineering","Editorial Board","Ma Ji Luo","School of Automotive Engineering Wuhan University, China","https://www.longdom.org/advances-in-automobile-engineering/editorial-board.html",2021-05-17
