"","publisher","journal","role","editor","affiliation","url","date"
"122","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Atsushi Asakura","University of Minnesota, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"123","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Sanchita Bandyopadhyay-Ghosh","University of Toronto, Canada","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"124","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Susanta K. Behura","University of Notre Dame, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"125","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Mohamed Ben Amar","University of Montreal, Canada","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"126","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Benoît Chénais","Université du Maine, France","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"127","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Mohamed Chahine","Laval University, Canada","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"128","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Sulbha Choudhari","Frederick National Laboratory for Cancer Research, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"129","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Priya Choudhry","California Institute of Technology, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"130","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Fatih Deniz","Harran University, Sanliurfa, Turkey","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"131","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Alexsandro S. Galdino","Universidade Federal de São João Del-Rei (UFSJ), Brazil","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"132","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Mahdi Garelnabi","University of Massachusetts, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"133","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Mazeyar Parvinzadeh Gashti","Département de Chimie, Université Laval, Canada","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"134","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Mehrnaz Gharaee-Kermani","University of Michigan, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"135","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Jane L. Hoover-Plow","Cleveland Clinic Lerner Research Institute, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"136","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Basalingappa L. Hungund","Columbia University, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"137","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Avinash P. Ingle","SGB Amravati University, India","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"138","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Noah Isakov","Ben Gurion University of the Negev, Israel","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"139","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Sabzali A. Javadov","University of Puerto Rico, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"140","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Shuli Kang","University of Southern California, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"141","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Lukasz Kedzierski","Monash University, Australia","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"142","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Wan Lee","Dongguk University, South Korea","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"143","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Lingyu Li","Stanford University, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"144","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Jiyan Ma","Ohio State University, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"145","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Manuela Martins-Green","University of California, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"146","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","James Michael Mathis","Louisiana State University Health Sciences Center, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"147","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Subhash C. Mojumdar","University of New Brunswick, Canada","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"148","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Pablo Iván Nikel","University of San Martín, Argentina","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"149","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Akbar Nikkhah","University of Zanjan, Iran","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"150","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","David Pimentel","Cornell University, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
"151","SCIRP","Advances in Bioscience and Biotechnology","Editorial Board","Kun Qu","Stanford University, USA","https://www.scirp.org/journal/editorialboard.aspx?journalid=164",2021-05-19
