publisher	journal	role	editor	affiliation	url	date
BioMedCentral	Diagnostic Pathology	NA	Joseph Sirintrapun	Memorial Sloan Kettering Cancer Center, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Gary Tse	Hong Kong Chinese University, China	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Sarah Umetsu	University of California, San Francisco, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Deyin Xing	Johns Hopkins Medical Center, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Howayda Abd El All	Suez Canal University, Egypt	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Jamshid Abdul-Ghafar, French Medical Institute for Mothers and Children	, Afghanistan	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Alejandro Ariel Gru	University of Virginia Medical Center, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Mohamed Ahmed	Suez Canal University, Egypt	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Felix O Aikhionbare	Morehouse School of Medicine, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Ruisheng An	University of Tennessee, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Henry Armah	McLaren Central Michigan, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Komal Arora	United Health Services Hospital, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Hafiz Aslam	Dow University of Health Sciences, Pakistan	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Valeria Barresi	University of Messina, Italy	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Renzo Boldorini	University Hospital Maggiore della Caritá, Italy	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Luka Brcic	Medical University of Graz, Austria	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Wei Chen	Ohio State University, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Cristina Colarossi	Mediterranean Institute of Oncology, Italy	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Parag Dabir	Regional Hospital of Randers, Denmark	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Oluwole Fadare	University of California San Diego, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Atif Ali Hashmi	Liaquat National Hospital and Medical College, Karachi, Pakistan	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	NA	character(0)	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Sundus Hussein	Kuwait Cancer Control Center, Kuwait	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Deepali Jain	All India Institute of Medical Sciences, India	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Sarika Jain	University of Pittsburgh Medical Center, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Arivarasan Karunamurthy	, University of Pittsburg Medical Center, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Izidor Kern	University Clinic Golnik, Slovenia	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Jaques Klossa	TRIBVN, France	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Zdravko Kosjerina	University of Novi Sad, Serbia	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Bozo BK Kruslin	University of Zagreb, Croatia	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Thiti Kuakpaetoon	Ministry of Public Health, Thailand	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Steven Lagana	Columbia University Medical Center, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Maode Lai	Zhejiang Univeristy, China	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Arvydas Laurinavicius	National Centre of Pathology, Lithuania	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Norm Lehman	University of Louisville, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Vicente Marco Molina	Hospital Quirón Barcelona, Spain	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Lorenzo Memeo	Mediterranean Institute of Oncology, Italy	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Liron Pantanowitz	University of Pittsburgh, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Dinesh Pradhan, 	The University of Texas MD Anderson Cancer Center, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Mohammad Z Rahman	Chittagong Medical College, Bangladesh	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Flavio Rizzolio	Ca’ Foscari University, Venice	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Fernando Schmitt	Laboratoire National de Santé, Luxembourg	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Thomas Schrader	Brandenburg University of Applied Sciences, Germany	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Sven Seiwerth	University of Zagreb, Croatia	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Konstantin Shilo	Ohio State University, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Steven Smith	"c(""Virginia Commonwealth University,"", ""USA"")"	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Dimitrios Stefanou	University of Ioannina, Greece	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Tatjana Terzic	University of Belgrade, Serbia	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Gitta Turowski	Oslo University Hospital, Norway	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Gary Tozbikian	Wexner Medical Centre at The Ohio State University, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Marileila Varella-Garcia	University of Colorado, USA	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Prof Bin Yang	"c("","", ""Cleveland Clinic Lerner College of Medicine, USA"")"	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Diagnostic Pathology	NA	Klaus Kayser	Humboldt University, Germany	https://diagnosticpathology.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Emerging Themes in Epidemiology	Editor-in-Chief	Steven S. Coughlin	Augusta University, USA	https://ete-online.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Emerging Themes in Epidemiology	Deputy Editors	Ben Lopman	Centers for Disease Control and Prevention, USA	https://ete-online.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Emerging Themes in Epidemiology	Deputy Editors	Anita Ramesh	London School of Hygiene &amp; Tropical Medicine, UK	https://ete-online.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Emerging Themes in Epidemiology	Statistical Editors	Deepak Nag Ayyala	Augusta University, USA	https://ete-online.biomedcentral.com/about/editorial-board	2022-01-20
