publisher	issn	journal	role	editor	affiliation	orcid	url	date
eLife	2050-084X	eLife	Reviewing editors	Oliver Weichenrieder	Max Planck Institute for Developmental Biology, Germany	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	William I Weis	Stanford University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Julie P I Welburn	University of Edinburgh, United Kingdom	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Raymund Wellinger	Université de Sherbrooke, Canada	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Jie Xiao	Johns Hopkins University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Keqiang Ye	Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, China	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Gary Yellen	Harvard Medical School, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Ahmet Yildiz	University of California, Berkeley, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Giulia Zanetti	Birkbeck, University of London, United Kingdom	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Mingjie Zhang	Hong Kong University of Science and Technology, Hong Kong SAR China	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Qing Zhang	University of Texas Southwestern Medical Center, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Utpal Banerjee	University of California, Los Angeles, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Wafik S El-Deiry	Brown University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Eduardo Franco	McGill University, Canada	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Erica Golemis	Fox Chase Cancer Center, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Päivi Ojala	University of Helsinki, FinlandImperial College London, United Kingdom	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	W Kimryn Rathmell	Vanderbilt University Medical Center, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Senior editors	Richard M White	Memorial Sloan Kettering Cancer Center, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Nicola Aceto	Swiss Federal Institute of Technology in Zurich, Switzerland	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Wadih Arap	Rutgers Cancer Institute of New Jersey at University Hospital, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Nicholas Banovich	Translational Genomics Research Institute (TGen), United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Frederic A Bard	Institute of Molecular and Cell Biology (A*STAR), Singapore	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Anton M Bennett	Yale University, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Philip Boonstra	University of Michigan, United States	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Dirce M Carraro	AC Camargo Cancer Center, Brazil	NA	https://elifesciences.org/about/people	2022-02-15
eLife	2050-084X	eLife	Reviewing editors	Nyasha Chambwe	St Jude Children's Research Hospital, United States	NA	https://elifesciences.org/about/people	2022-02-15
